date,i,Open,High,Low,Adj Close,Volume,symbol,signal,ma_superTrend,ma_superTrend_pct_change,ma20,MA-FAST,ma20_pct_change,ma20_pct_change_ma,ma20_pct_change_ma_sq,std,upper_band,lower_band,super_upper_band,super_lower_band,ADX,ADX-PCT-CHNG,OBV,OBV-OSC,OBV-TREND,OBV-OSC-PCT-CHNG,bnh_returns,cum_bnh_returns,bnh_ln_returns,cum_bnh_ln_returns,position,position_change,strategy_returns,cum_strategy_returns,strategy_ln_returns,cum_strategy_ln_returns,trade_num
2023-03-29 09:15:00+05:30,1,5562.15,5578.8,5555.0,5575.45,13016,BAJFINANCE,0.0,,,,,,,,,,,,,,,,,0,,,,,,,0.0,,,,,
2023-03-29 09:16:00+05:30,2,5575.0,5585.0,5572.3,5577.95,10375,BAJFINANCE,,,,,,,,,,,,,,,,,,0,,0.0004483943000117563,0.0004483943000117563,0.00044829380132851694,0.00044829380132851694,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:17:00+05:30,3,5577.85,5587.05,5577.8,5585.55,10690,BAJFINANCE,,,,,,,,,,,,,,,,,,0,,0.0013625077313350609,0.0018115129720472911,0.0013615803599476355,0.0018098741612761525,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:18:00+05:30,4,5585.65,5592.0,5580.05,5581.25,10773,BAJFINANCE,,,,,,,,,,,,,,,,,,0,,-0.0007698436143263043,0.0010402747760271946,-0.0007701400960943936,0.001039734065181759,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:19:00+05:30,5,5580.85,5584.95,5580.0,5583.0,6499,BAJFINANCE,,,,,,,,,,,,,,,,25040.28309774562,,0,,0.00031354983202680486,0.0013541507860352908,0.0003135006855512006,0.0013532347507329596,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:20:00+05:30,6,5581.3,5588.25,5573.15,5578.0,7032,BAJFINANCE,,,,,,,,,,,,,,,,24615.235154440245,,0,,-0.0008955758552748883,0.0004573621860120003,-0.0008959771229261324,0.0004572576278068271,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:21:00+05:30,7,5577.85,5585.65,5574.45,5583.8,4510,BAJFINANCE,,,,,5580.714285714285,,,,,,,,,,,25054.65256006273,,0,,0.0010397992111867982,0.001497636962038973,0.0010392589944325454,0.0014965166222393725,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:22:00+05:30,8,5583.2,5589.9,5583.2,5587.8,3609,BAJFINANCE,,,,,5582.478571428573,,,,,,,,,,,25915.104394642967,,0,,0.0007163580357463228,0.0022150678420576053,0.0007161015738003755,0.002212618196039748,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:23:00+05:30,9,5585.2,5590.0,5581.95,5581.95,3167,BAJFINANCE,,,,,5583.05,,,,,,,,,,,26157.881287619595,,0,,-0.0010469236551058358,0.0011658251800301667,-0.0010474720624694858,0.0011651461335702624,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:24:00+05:30,10,5583.35,5586.0,5577.05,5577.2,3144,BAJFINANCE,,,,,5581.857142857143,,,,,,,,,,,25963.63906688224,0.04830574989270415,0,,-0.0008509571028045837,0.0003138760100080962,-0.0008513193723317892,0.0003138267612384732,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:25:00+05:30,11,5577.2,5578.7,5572.0,5572.0,2093,BAJFINANCE,,,,,5580.535714285715,,,,,,,,,,,25565.365203357833,0.04970644696375491,0,,-0.0009323674962345985,-0.0006187841340160594,-0.0009328024211695461,-0.0006189756599310729,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:26:00+05:30,12,5573.0,5573.0,5564.1,5564.95,3557,BAJFINANCE,,,,,5577.9571428571435,,,,,,,,,,,24852.69918099913,-0.010565274655834529,0,,-0.0012652548456568713,-0.00188325606004891,-0.00126605595637988,-0.001885031616310953,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:27:00+05:30,13,5564.8,5569.0,5562.0,5569.0,5737,BAJFINANCE,,,,,5576.671428571429,,,,,,,,,,,24834.175960895533,-0.05654921863053491,0,-1.0,0.0007277693420426612,-0.0011568572940299227,0.0007275046463522059,-0.0011575269699587469,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:28:00+05:30,14,5569.0,5571.0,5562.1,5562.1,3890,BAJFINANCE,,,,,5573.571428571428,,,,,,,,,,,24444.110295707087,-0.08965663912489256,0,-1.0,-0.0012390016160890305,-0.0023944255620620414,-0.0012397698131885568,-0.0023972967831473037,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:29:00+05:30,15,5564.4,5564.4,5555.0,5556.7,3683,BAJFINANCE,,,,,5569.1285714285705,,,,,,,,,,,23769.97942598723,-0.11476221252122004,0,1.0,-0.0009708563312419427,-0.003362957250087395,-0.0009713279175029443,-0.003368624700650248,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:30:00+05:30,16,5560.0,5561.05,5556.25,5560.9,2799,BAJFINANCE,,,,,5566.121428571429,,,,,,,,,,,23429.549211565198,-0.11173609806502244,0,0.975908788325649,0.0007558442960748923,-0.0026096548260678976,0.000755558789631491,-0.0026130659110187573,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:31:00+05:30,17,5560.9,5565.0,5559.0,5562.9,1263,BAJFINANCE,,,,,5564.078571428572,,,,,,,,,,,23237.7437198276,-0.0844870637140662,0,-0.0576597055308431,0.0003596540128396608,-0.0022509393860585813,0.0003595893528382064,-0.0022534765581805507,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:32:00+05:30,18,5562.9,5572.35,5562.9,5570.1,2760,BAJFINANCE,,,,,5563.807142857143,,,,,,,,,,,23293.247435256497,-0.08061431392667948,0,-0.2975535051507173,0.001294288950008271,-0.0009595638020247765,0.0012934520800883774,-0.0009600244780921733,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:33:00+05:30,19,5570.1,5572.0,5568.35,5569.9,4309,BAJFINANCE,,,,,5564.5142857142855,,,,,,,,,,,23002.98996166709,-0.07539280705199675,0,-0.3252600694171054,-3.5905998097107705e-05,-0.0009954353460258636,-3.5906642732888286e-05,-0.0009959311208250616,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:34:00+05:30,20,5570.0,5575.0,5568.0,5569.65,2495,BAJFINANCE,,,,5573.5075,5564.607142857143,,,,9.04173473981971,5591.590969479639,5555.42403052036,5596.111836849549,5550.90316315045,,,22553.02086845091,-0.06366569088745194,0,-0.24644450773056892,-4.4884109229981206e-05,-0.0010402747760270836,-4.488511655175383e-05,-0.0010408162373768154,0.0,0.0,-0.0,0.0,-0.0,0.0,
2023-03-29 09:35:00+05:30,21,5568.9,5571.8,5567.2,5570.9,1325,BAJFINANCE,,,,5573.280000000001,5565.864285714285,-0.4081810242451134,,,9.047526559347846,5591.375053118696,5555.184946881305,5595.89881639837,5550.661183601631,,,22247.497424395522,-0.06183952874061506,0,-0.2328964208904699,0.0002244306195182677,-0.0008160776260213165,0.0002244054387342679,-0.0008164107986425475,0.0,0.0,0.0,0.0,0.0,0.0,
2023-03-29 09:36:00+05:30,22,5570.9,5571.0,5567.35,5570.0,1635,BAJFINANCE,,,,5572.882500000001,5567.7642857142855,-0.7132245284646732,,,9.006098445527092,5590.894696891055,5554.870303108946,5595.397746113818,5550.367253886183,,,21853.717141397286,-0.07240592358440458,0,-0.0396176185021494,-0.0001615537884362972,-0.0009774995740254866,-0.00016156683965524443,-0.000977977638297792,0.0,0.0,-0.0,0.0,-0.0,0.0,
